model,batch_size,sequence_length,result
bert-base-uncased,32,64,0.1332
bert-base-uncased,64,64,0.2597
bert-base-uncased,128,64,0.5107
bert-large-uncased,32,64,0.3984
bert-large-uncased,64,64,0.7893
bert-large-uncased,128,64,1.5743
roberta-base,32,64,0.1628
roberta-base,64,64,0.3164
roberta-base,128,64,0.6148
roberta-large,32,64,0.4369
roberta-large,64,64,0.8515
roberta-large,128,64,1.6959
distilbert-base-uncased,32,64,0.0876
distilbert-base-uncased,64,64,0.1709
distilbert-base-uncased,128,64,0.3322
gpt2,32,64,0.1829
gpt2,64,64,0.3551
gpt2,128,64,0.6939
gpt2-medium,32,64,0.4812
gpt2-medium,64,64,0.9401
gpt2-medium,128,64,1.8724
gpt2-large,32,64,0.9809
gpt2-large,64,64,1.9124
gpt2-large,128,64,N/A
google/mt5-small,32,64,0.238
google/mt5-small,64,64,0.4705
google/mt5-small,128,64,0.9506
google/mt5-base,32,64,0.5327
google/mt5-base,64,64,1.0506
google/mt5-base,128,64,N/A
google/mt5-large,32,64,1.2825
google/mt5-large,64,64,N/A
google/mt5-large,128,64,N/A
google/mt5-xl,32,64,N/A
google/mt5-xl,64,64,N/A
google/mt5-xl,128,64,N/A
