model,batch_size,sequence_length,result
bert-base-uncased,32,64,0.0581
bert-base-uncased,64,64,0.1084
bert-base-uncased,128,64,0.243
bert-large-uncased,32,64,0.1861
bert-large-uncased,64,64,0.3429
bert-large-uncased,128,64,0.6282
roberta-base,32,64,0.0647
roberta-base,64,64,0.1218
roberta-base,128,64,0.2699
roberta-large,32,64,0.202
roberta-large,64,64,0.3747
roberta-large,128,64,0.6918
distilbert-base-uncased,32,64,0.0341
distilbert-base-uncased,64,64,0.0642
distilbert-base-uncased,128,64,0.1413
gpt2,32,64,0.0653
gpt2,64,64,0.1253
gpt2,128,64,0.2866
gpt2-medium,32,64,0.1991
gpt2-medium,64,64,0.3773
gpt2-medium,128,64,0.727
gpt2-large,32,64,0.3747
gpt2-large,64,64,0.7536
gpt2-large,128,64,1.4368
google/mt5-small,32,64,0.0899
google/mt5-small,64,64,0.171
google/mt5-small,128,64,0.3295
google/mt5-base,32,64,0.1914
google/mt5-base,64,64,0.3715
google/mt5-base,128,64,0.7712
google/mt5-large,32,64,0.5518
google/mt5-large,64,64,1.1143
google/mt5-large,128,64,N/A
google/mt5-xl,32,64,N/A
google/mt5-xl,64,64,N/A
google/mt5-xl,128,64,N/A
