model,batch_size,sequence_length,result
bert-base-uncased,32,64,0.1772
bert-base-uncased,64,64,0.3303
bert-base-uncased,128,64,0.7204
bert-large-uncased,32,64,0.5624
bert-large-uncased,64,64,1.0085
bert-large-uncased,128,64,N/A
roberta-base,32,64,0.1995
roberta-base,64,64,0.3758
roberta-base,128,64,0.8007
roberta-large,32,64,0.5949
roberta-large,64,64,1.077
roberta-large,128,64,N/A
distilbert-base-uncased,32,64,0.1056
distilbert-base-uncased,64,64,0.1987
distilbert-base-uncased,128,64,0.4269
gpt2,32,64,0.2107
gpt2,64,64,0.4016
gpt2,128,64,N/A
gpt2-medium,32,64,0.6086
gpt2-medium,64,64,N/A
gpt2-medium,128,64,N/A
gpt2-large,32,64,N/A
gpt2-large,64,64,N/A
gpt2-large,128,64,N/A
google/mt5-small,32,64,0.3221
google/mt5-small,64,64,N/A
google/mt5-small,128,64,N/A
google/mt5-base,32,64,N/A
google/mt5-base,64,64,N/A
google/mt5-base,128,64,N/A
google/mt5-large,32,64,N/A
google/mt5-large,64,64,N/A
google/mt5-large,128,64,N/A
google/mt5-xl,32,64,N/A
google/mt5-xl,64,64,N/A
google/mt5-xl,128,64,N/A
